objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Lost Ruins of Arnak","312484","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957266","7.91846","8.08462","2.9341","30","89249","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Machi Koro: The Harbor & Millionaire's Row Expansions","280191","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959344","5.72026","7.18662","1.6667","0","1774","thing","Machi Koro: The Harbor & Millionaire's Row Expansions","2","5","30","30","30","2019","2,3,4,5","4,5","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mamoonia","7573","1","0","0","1","0","0","0","0","0","0","0","3","","this is *the* worst game ive ever had the misfortune of playing - after 3 hours spent trying to decipher the appalling rules (the updated ones werent really any better), staring at the abysmal artwork and trying to make sense of the ridiculous grammar and spelling (health is spelt as healht everywhere, throughout the rules and even on the cards)
We eventually gave up on this overcomplicated game (which at teh end of the day turns out to basically be a variation on cluedo) and i am planning on burning my copy to try and forget that painful evening.

If i could rate it negatively i would it really is that bad, how it has such a good rating is beyond me.

AVOID AT ALL COSTS","","","","1371723","5.48831","4.53333","2.5","28759","81","thing","Mamoonia","1","6","180","180","180","2003","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Maskmen","159581","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959554","6.23234","6.94595","1.7778","2135","5304","thing","Maskmen","2","6","20","20","20","2014","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Meridian","1416","8","0","0","1","0","0","0","0","0","0","0","3","","only played once but its another really deep thought one from leo colovini - not as strategic as carolus magnus as your cards to large extent constrain what you can do but it still manages to be a very strategic game.","","","","686658","5.57968","6.01738","2.525","10740","797","thing","Meridian","2","4","30","30","30","2001","2,3,4","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mille Fiori","346501","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112959225","6.85443","7.41707","2.1835","681","10097","thing","Mille Fiori","2","4","90","90","60","2021","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Moonrakers","270239","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957220","6.77698","7.67637","2.4737","799","6779","thing","Moonrakers","1","5","120","120","60","2020","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nine Tiles Panic","279869","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959390","6.15755","6.88702","1.3333","2418","4309","thing","Nine Tiles Panic","2","5","20","20","20","2019","2,3,4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Noggin","365235","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959613","5.55546","6.29024","1","12801","564","thing","Noggin","3","99","10","10","10","2022","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","2,3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Number","307450","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959629","5.66598","6.01516","1.1176","7154","2098","thing","The Number","2","5","20","20","15","2020","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orléans","164928","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957475","7.85848","8.04643","3.0106","35","43727","thing","Orléans","2","5","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paladins of the West Kingdom","266810","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957307","7.65668","7.95162","3.7039","82","33662","thing","Paladins of the West Kingdom","1","4","120","120","90","2019","1,2,3","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paperback","141572","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957329","6.80171","7.08833","2.0065","760","17763","thing","Paperback","2","5","45","45","45","2014","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Pipeline","256730","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957247","6.91894","7.53532","3.9055","608","8128","thing","Pipeline","2","4","120","120","60","2019","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pit","140","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959645","6.19742","6.41129","1.1512","2264","20106","thing","Pit","3","8","90","90","30","1903","4,5,6,7,8","6,7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Potion Explosion","180974","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957285","6.92457","7.12176","1.7768","603","34331","thing","Potion Explosion","2","4","45","45","30","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Praga Caput Regni","308765","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957338","7.36795","7.82633","3.7262","197","16745","thing","Praga Caput Regni","1","4","150","150","45","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Prey Another Day","234260","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","111959651","6.22076","6.83257","1.0989","2182","5365","thing","Prey Another Day","2","5","20","20","15","2023","3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pueblo","3228","9","0","0","1","0","0","0","0","0","0","0","3","","excellent game, very different than your usual game, mind bending spatial strategy!","","","","686656","6.38232","6.98165","2.2259","1652","4658","thing","Pueblo","2","4","60","60","60","2002","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Puerto Rico","3076","9","0","0","0","0","0","0","0","0","0","0","3","","","","","","686657","7.74941","7.89667","3.2658","57","85429","thing","Puerto Rico","3","5","150","150","90","2002","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Quacks of Quedlinburg: The Alchemists","316597","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959507","6.72874","7.85683","2.3023","0","15247","thing","The Quacks of Quedlinburg: The Alchemists","2","5","45","45","45","2020","2,3,4,5","3,4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Quacks of Quedlinburg: The Herb Witches","269259","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959501","7.35844","7.99588","2.01","0","29606","thing","The Quacks of Quedlinburg: The Herb Witches","2","5","45","45","45","2019","2,3,4,5","3,4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Ra","12","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957292","7.56037","7.72115","2.3036","112","41284","thing","Ra","2","5","60","60","45","1999","3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Revive","332772","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112090378","7.61873","8.04533","3.4615","92","18718","thing","Revive","1","4","120","120","90","2022","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sail","377470","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112126157","6.68404","7.25107","2.21","944","13247","thing","Sail","2","2","20","20","20","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Samurai Sword: Rising Sun","156042","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959477","5.81805","7.38289","1.8947","0","1980","thing","Samurai Sword: Rising Sun","3","8","40","40","20","2014","4,5,6,7,8","5,7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Septima","360692","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112564197","6.55596","7.33407","3.6575","1207","9069","thing","Septima","1","4","100","100","50","2023","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sheriff of Nottingham","157969","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957567","6.90266","7.04209","1.6581","624","57554","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
